Dimension,Method,Steps,Step size,Temperature,Mass,X0,Xmin,Xmax,Xincrement,Y0,Ymin,Ymax,Yincrement,Gaussian Height,Gaussian Width,Deposition Frequency,Well Temperature,Number of Events,Data Filename
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,25,10000,100,25stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,25,10000,100,25stride1DB
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,50,10000,100,50stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,50,10000,100,50stride1DB
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,100,10000,100,100stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,100,10000,100,100stride1DB
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,125,10000,100,125stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,125,10000,100,125stride1DB
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,150,10000,100,150stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,150,10000,100,150stride1DB
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,200,10000,100,200stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,200,10000,100,200stride1DB
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,175,10000,100,175stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,175,10000,100,175stride1DB
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,225,10000,100,225stride1DA
1-D Potential,Infrequent WT MetaD,1000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,225,10000,100,225stride1DB
1-D Potential,Infrequent WT MetaD,2000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,750,10000,100,750stride1DA
1-D Potential,Infrequent WT MetaD,2000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,750,10000,100,750stride1DB
1-D Potential,Infrequent WT MetaD,2000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,1000,10000,100,1000stride1DA
1-D Potential,Infrequent WT MetaD,2000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,1000,10000,100,1000stride1DB
1-D Potential,Infrequent WT MetaD,2000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,2000,10000,100,2000stride1DA
1-D Potential,Infrequent WT MetaD,2000000,.01,300,1,2,-4,4,0.01,0,0,0,0,.25,.1,2000,10000,100,2000stride1DB
